,price,property_type,bedrooms,bathrooms_text,beds,neighbourhood_cleansed
1,135.0,Entire guesthouse,2.0,1.0,2.0,Highland
2,179.0,Entire loft,1.0,1.5,1.0,Five Points
3,55.0,Private room in residential home,1.0,1.0,1.0,North Park Hill
4,52.0,Private room in residential home,1.0,1.0,1.0,North Park Hill
5,33.0,Private room in residential home,1.0,1.0,2.0,North Capitol Hill
7,87.0,Entire guest suite,1.0,1.0,1.0,West Highland
8,113.0,Entire cottage,1.0,1.0,1.0,Highland
9,126.0,Entire rental unit,1.0,1.0,2.0,Capitol Hill
10,79.0,Entire guesthouse,1.0,1.0,1.0,Overland
11,90.0,Private room in residential home,1.0,1.0,1.0,South Park Hill
12,67.0,Entire condominium (condo),1.0,1.0,1.0,CBD
13,400.0,Entire residential home,5.0,4.0,7.0,Washington Park
14,44.0,Private room in condominium (condo),1.0,1.0,1.0,South Park Hill
15,100.0,Private room in condominium (condo),1.0,1.5,2.0,Highland
16,165.0,Entire loft,2.0,1.5,2.0,Union Station
18,82.0,Private room in residential home,1.0,1.0,1.0,Five Points
19,223.0,Entire townhouse,3.0,2.5,3.0,Washington Park West
20,55.0,Private room in townhouse,1.0,1.0,1.0,Baker
21,55.0,Private room in residential home,1.0,1.5,1.0,City Park West
22,155.0,Entire residential home,2.0,2.0,2.0,Clayton
23,118.0,Entire rental unit,1.0,1.0,1.0,City Park West
24,50.0,Private room in residential home,1.0,1.0,1.0,City Park West
25,200.0,Entire loft,2.0,1.0,2.0,Five Points
26,122.0,Entire townhouse,2.0,2.0,2.0,Highland
27,160.0,Entire rental unit,2.0,1.0,2.0,Highland
28,195.0,Entire residential home,3.0,2.5,3.0,Stapleton
29,119.0,Entire bungalow,2.0,1.0,2.0,Platt Park
30,359.0,Entire residential home,3.0,2.5,6.0,Five Points
31,56.0,Private room in townhouse,1.0,1.5,1.0,Lowry Field
32,82.0,Entire guest suite,2.0,1.0,2.0,South Park Hill
33,25.0,Private room in townhouse,4.0,3.5,3.0,West Highland
34,180.0,Private room in residential home,2.0,1.0,2.0,South Park Hill
35,77.0,Entire rental unit,1.0,1.0,1.0,City Park West
36,228.0,Entire residential home,3.0,3.0,3.0,Platt Park
37,163.0,Entire residential home,2.0,1.0,2.0,Sunnyside
38,74.0,Private room in residential home,1.0,1.0,1.0,Congress Park
39,105.0,Entire bungalow,1.0,1.0,3.0,City Park West
40,151.0,Entire guest suite,2.0,1.0,5.0,Goldsmith
41,95.0,Entire residential home,1.0,1.0,2.0,Capitol Hill
42,129.0,Entire loft,1.0,1.0,0.0,Highland
43,90.0,Entire bungalow,2.0,1.0,3.0,Congress Park
44,125.0,Entire condominium (condo),2.0,2.0,2.0,CBD
45,125.0,Entire guesthouse,1.0,1.0,1.0,Stapleton
46,139.0,Entire residential home,3.0,2.0,5.0,Five Points
47,165.0,Entire guest suite,2.0,1.0,3.0,Berkeley
48,145.0,Entire guest suite,1.0,1.0,0.0,Berkeley
49,100.0,Entire residential home,2.0,1.5,2.0,Sunnyside
50,182.0,Entire residential home,1.0,1.0,1.0,Lincoln Park
51,120.0,Entire townhouse,1.0,1.0,2.0,City Park West
52,136.0,Entire residential home,3.0,2.0,4.0,Cole
53,56.0,Entire condominium (condo),1.0,1.0,1.0,CBD
54,68.0,Private room in residential home,1.0,1.0,1.0,Cheesman Park
55,58.0,Private room in residential home,1.0,1.0,2.0,Cheesman Park
57,53.0,Entire condominium (condo),1.0,1.0,1.0,CBD
58,47.0,Private room in residential home,1.0,1.0,1.0,Cole
59,65.0,Entire rental unit,1.0,1.0,1.0,Speer
61,98.0,Entire condominium (condo),2.0,2.0,2.0,CBD
63,98.0,Entire condominium (condo),2.0,2.0,2.0,CBD
65,218.0,Entire residential home,5.0,2.0,5.0,University
66,78.0,Entire condominium (condo),1.0,1.0,1.0,CBD
67,125.0,Entire townhouse,2.0,2.0,2.0,Capitol Hill
68,56.0,Entire condominium (condo),1.0,1.0,1.0,CBD
69,92.0,Entire rental unit,1.0,1.0,1.0,Highland
70,245.0,Entire residential home,5.0,2.0,6.0,West Colfax
71,102.0,Private room in residential home,2.0,1.0,2.0,Congress Park
72,74.0,Entire guest suite,1.0,1.0,1.0,Berkeley
73,121.0,Entire rental unit,2.0,1.0,2.0,West Highland
74,108.0,Entire bungalow,1.0,1.0,1.0,Speer
75,88.0,Entire rental unit,2.0,1.0,3.0,West Colfax
76,60.0,Private room in residential home,1.0,1.0,1.0,South Park Hill
77,211.0,Entire residential home,2.0,2.0,2.0,Sloan Lake
78,101.0,Private room in residential home,1.0,1.0,5.0,Cheesman Park
80,56.0,Private room in residential home,1.0,1.0,1.0,Cheesman Park
81,81.0,Private room in residential home,2.0,1.5,1.0,Congress Park
82,350.0,Entire loft,1.0,1.5,1.0,CBD
83,35.0,Private room in residential home,1.0,1.0,1.0,University
84,35.0,Private room in residential home,1.0,1.0,1.0,University
85,110.0,Entire guest suite,2.0,1.0,2.0,Berkeley
86,451.0,Entire townhouse,2.0,2.5,2.0,Sunnyside
87,200.0,Entire rental unit,1.0,1.0,1.0,CBD
88,39.0,Private room in bungalow,1.0,1.0,1.0,Clayton
89,150.0,Entire residential home,3.0,2.0,4.0,Platt Park
90,76.0,Entire rental unit,1.0,1.0,0.0,City Park West
91,258.0,Entire residential home,2.0,1.0,3.0,Lincoln Park
92,92.0,Entire rental unit,2.0,1.0,2.0,Hilltop
93,151.0,Entire residential home,2.0,1.0,3.0,Sunnyside
94,26.0,Private room in residential home,1.0,1.0,1.0,University
96,260.0,Entire residential home,3.0,3.0,5.0,Country Club
97,189.0,Entire residential home,3.0,1.0,4.0,Clayton
98,80.0,Entire rental unit,1.0,1.0,1.0,City Park West
99,115.0,Entire guest suite,1.0,1.0,2.0,West Highland
